"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://maranatha.pro/differences-between-granite-quartz-and-marble-countertops/","1","Differences Between Granite, Quartz, and Marble Countertops - Maranatha Granite","79","734","Indexable",""
"https://maranatha.pro/large-format-tiles-tile-flooring-modern-home-design-large-tile-installation-benefits-of-large-tiles-home-remodeling-large-tiles-for-walls-interior-design-tiles/","1","Benefits of Installing Large-Format Tiles in Modern Homes - Maranatha Granite","77","705","Indexable",""
"https://maranatha.pro/blog/page/5/","1","Countertop & Flooring Insights | Birmingham, AL | Maranatha","59","538","Indexable",""
"https://maranatha.pro/blog/page/4/","1","Countertop & Flooring Insights | Birmingham, AL | Maranatha","59","538","Indexable",""
"https://maranatha.pro/kitchen-design-trends-2023-what-you-need-to-know/","1","Kitchen Design Trends, 2023: What You Need to Know - Maranatha Granite","70","664","Indexable",""
"https://maranatha.pro/herringbone-pattern-floors/","1","Hardwood Trends for 2023 | Herringbone Floors - Maranatha Granite","65","606","Indexable",""
"https://maranatha.pro/quartzite-care-maintenance/","1","Quartzite Care & Maintenance  - Maranatha Granite","49","452","Indexable",""
"https://maranatha.pro/whats-special-about-june-july-23/","1","What's Special about June & July ('23)? - Maranatha Granite","59","530","Indexable",""
"https://maranatha.pro/kitchen-bathroom-design-trends-enhancing-your-home-in-alabama/","1","Kitchen & Bathroom Design Trends: Enhancing Your Home in Alabama - Maranatha Granite","84","808","Indexable",""
"https://maranatha.pro/dekton-and-your-bathroom/","1","Dekton and Your Bathroom - Maranatha Granite","44","424","Indexable",""
"https://maranatha.pro/dos-and-donts-a-quick-guide-for-alabama-homeowners/","1","Do's and Don'ts: A Quick Guide for Alabama Homeowners - Maranatha Granite","73","693","Indexable",""
"https://maranatha.pro/most-requested-countertops-for-kitchen-renos/","1","Most Requested Countertops for Kitchen Renos - Maranatha Granite","64","607","Indexable",""
"https://maranatha.pro/timeless-beauty-of-granite/","1","Timeless Beauty of Granite - Maranatha Granite","46","426","Indexable",""
"https://maranatha.pro/dekton-new-kid-on-the-block/","1","Dekton Countertops - Maranatha Granite","38","362","Indexable",""
"https://maranatha.pro/maranatha-quartz-care-maintenance/","1","Quartz Care & Maintenance  - Maranatha Granite","46","429","Indexable",""
"https://maranatha.pro/what-are-sculleries-why-care/","1","What Are Sculleries & Why Care? - Maranatha Granite","51","475","Indexable",""
"https://maranatha.pro/contact/embed/","1","Contact Maranatha | Countertops in Birmingham, AL","49","465","Non-Indexable","Canonicalised,noindex"
